"bus-cycles","branch-instructions","cache-references","node-loads","branch-misses","node-stores","cache-misses","instructions","L1-icache-load-misses","branch-loads","LLC-load-misses","L1-dcache-loads","LLC-loads","L1-dcache-stores","L1-dcache-load-misses","iTLB-load-misses","class"
"1000270","29000000","429","63","75","5","91","110000000","219","29000000","135","21000000","284","14000000","501","4","trojan"
"1000298","29000000","429","63","75","5","90","110000000","219","29000000","135","21000000","284","14000000","500","4","trojan"
"1000322","29000000","428","62","75","5","90","110000000","218","29000000","134","21000000","283","14000000","499","4","trojan"
"1000357","29000000","427","62","74","5","90","110000000","218","29000000","134","21000000","282","14000000","499","4","trojan"
"1000391","29000000","426","62","74","5","90","110000000","217","29000000","133","21000000","282","14000000","498","4","trojan"
"1000419","29000000","426","62","74","5","89","110000000","217","29000000","133","21000000","281","14000000","497","4","trojan"
"1000446","29000000","425","62","74","5","89","110000000","216","29000000","133","21000000","281","14000000","497","4","trojan"
"1000479","29000000","424","62","74","5","89","110000000","216","29000000","132","21000000","280","14000000","496","4","trojan"
"1000513","29000000","424","62","74","5","89","110000000","215","29000000","132","21000000","280","14000000","495","4","trojan"
"51466","245302","32888","2751","12563","231","6776","1263805","7301","113696","2179","189768","4914","100074","11476","230","virus"
"8885","40987","6405","431","1602","11","1078","224214","2913","40911","694","64076","1600","38888","3697","87","virus"
"17854","101491","7878","611","2776","119","1545","556994","3919","100236","661","160747","2083","100703","5297","87","virus"
"35747","156848","21623","2695","8710","308","5967","826590","10725","157194","3058","254175","7211","141708","16693","303","virus"
"5164","22944","3054","469","1146","50","914","119502","1434","23119","527","36405","1082","20310","2404","38","virus"
"22656","96951","15466","1745","4773","51","3676","501421","8228","98242","2464","147875","5698","83049","11344","325","virus"
"19339","70819","15527","1387","3616","106","2980","383204","8068","60762","1154","92651","4011","67145","10013","308","virus"
"4445","16416","3558","330","793","27","744","84849","4159","39765","1157","60192","2833","41404","5963","149","virus"
"5721","22015","4211","560","1012","49","1087","112705","1231","12273","378","18482","884","12555","1773","41","virus"
"29614","130761","16361","1937","5677","233","4518","692367","8924","131785","1986","208210","5218","119986","10987","193","virus"
"35288","165109","21794","2655","6792","208","5355","870117","11537","161154","2910","247050","7221","143371","15371","300","virus"
"62792","271466","48231","5648","13456","849","10504","1400157","96752","2978974","72736","261896","203503","3672220","19033","969","virus"
"25424","113867","21326","3238","6621","454","4986","591901","69311","2461807","40795","167668","120974","2344235","12904","676","virus"
"37467","170723","19274","2148","6610","270","5250","997305","10268","171685","2238","300831","5921","161833","12921","318","virus"
"29335","124072","21875","2172","5543","261","4321","646581","56638","2965751","30869","284287","88729","1674901","21675","898","virus"
"6473","25904","5535","502","1261","15","1075","141957","2512","26088","416","38944","1393","27729","3629","34","virus"
"1044","3773","920","93","188","6","189","20901","456","4274","100","6417","281","4504","621","6","virus"
"54327","247834","38285","4257","12348","712","8373","1276054","57459","2582230","31677","397033","93552","1738898","23908","710","virus"
"32389","150507","21039","2297","7555","181","5020","779431","9201","151443","2268","244297","7238","133007","17729","366","virus"
"19066","79938","11989","1490","4145","43","3206","423808","6175","80561","1793","125041","4197","75294","9732","210","virus"
"2918","12260","1769","283","568","13","523","64323","1137","16405","438","24847","895","14796","1904","36","virus"
"378569","11000000","38764","3006","9854","297","6244","24000000","37998","31000000","9961","13000000","26835","405571","14547","1226","virus"
"24386","105408","17862","1792","5379","84","4217","545133","8946","106373","2035","161049","5735","90238","11330","361","virus"
"63939","325471","39002","3355","16490","239","8197","1660749","18877","322691","3073","504355","12821","257365","30411","846","virus"
"18767","77729","18397","2488","5186","550","3661","414567","4751","51473","739","81194","2623","54642","6568","132","virus"
"14519","58222","9814","725","2598","211","2274","320985","6030","58389","998","91979","2370","58485","5335","28","virus"
"53901","248488","39521","4483","12610","754","8571","1282962","10080","152737","2610","246261","7787","134040","18393","473","virus"
"13824","59431","10302","639","2976","196","2088","326314","5708","59264","769","92962","2223","59117","4919","38","virus"
"17381","101156","7610","640","2666","145","1584","555391","4407","102678","755","164265","2457","102932","5886","165","virus"
"38602","160758","19174","2309","6232","261","5443","998039","10528","159582","3759","301297","6503","159488","13153","309","virus"
"17192","100605","7540","675","2574","168","1620","552078","4616","103355","823","165689","2713","103739","6461","197","virus"
"20670","90319","19187","2205","4880","410","3935","483502","84676","2875755","87245","1403888","209986","3575347","145663","869","virus"
"21486","98014","12838","1637","4415","54","3326","506713","12637","153679","5017","242878","7643","127105","15611","500","virus"
"9196","36727","7595","592","2158","39","1675","197870","3526","36333","483","54874","2053","38315","5187","73","virus"
"1321","5035","1053","113","277","9","257","27209","707","7394","153","11125","447","7571","1006","18","virus"
"23889","105686","21685","2554","6416","384","4934","544173","74979","2922200","40738","170909","122953","2328772","14361","1482","virus"
"13865","58683","9577","630","2714","209","2039","323859","5324","59776","899","95009","2299","60429","4994","51","virus"
"36733","141507","18723","2348","6386","292","5696","738905","10104","146845","3311","225358","6444","130929","13083","300","virus"
"9291","36671","8370","607","2324","30","1846","197686","3630","37370","689","56361","2288","39192","5642","82","virus"
"1303","4872","1150","108","301","8","266","26209","733","7496","182","11307","502","7692","1099","15","virus"
"904698","26000000","19857","2939","5301","213","5398","52000000","41799","26000000","13548","13000000","32641","494609","13510","1005","virus"
"17311","99206","7444","625","2640","163","1599","544667","3823","98999","599","158527","2054","99716","5063","81","virus"
"509327","4413487","254515","17590","59711","2169","28752","22000000","117248","5232467","15702","7953088","65515","4073970","306241","16468","virus"
"287214","2539102","133893","9876","31981","1196","16238","12000000","61928","2638070","10186","4279005","35828","2228051","158470","8270","virus"
"13679","58703","9697","667","2754","223","2135","323891","5440","58679","679","92397","2231","58895","5001","19","virus"
"24405","98115","18677","2543","5152","245","3978","509300","6816","87496","1613","133806","4519","80197","10325","241","virus"
"92606","481743","68980","4134","21467","435","7572","2421357","26385","479826","4482","672300","22203","371928","55771","981","virus"
"51166","250252","32529","2871","12139","194","6911","1286849","7548","112182","2417","187356","4987","98933","11514","242","virus"
"22864","98725","16440","1752","4645","62","3665","509599","8752","105101","2623","158034","6406","88323","11811","276","virus"
"28115","114436","14809","2307","6978","83","4840","602883","7484","115967","2234","193423","5126","102117","12007","345","virus"
"4156","17280","2181","418","928","20","766","89546","1032","17622","426","28301","831","15048","1806","45","virus"
"11797","52991","8841","622","1882","66","1463","286946","89586","2890326","103669","86742","221397","3593128","7576","834","virus"
"106932","561513","70569","8284","19082","1607","14916","2982771","20745","352903","4449","563594","13491","324980","32559","837","virus"
"31699","137348","25065","3611","8064","554","5835","714089","7282","103671","1744","158679","5252","95179","12760","213","virus"
"58290","307470","30204","4532","11708","525","9226","1586640","15800","310008","4550","489653","11525","269029","27858","684","virus"
"41456","167485","22240","2833","6690","292","6143","1023562","5115","80576","1205","150186","3390","80174","6967","158","virus"
"52646","248784","33559","2866","12588","293","6071","1281286","15853","246495","2547","380158","9997","201522","23144","611","virus"
